etcsl_no,text_name,version,l_no,text
c.4.32.e,A šir-namšub to Utu (Utu E),,66,sux:lu₂-ulu₃[person]N sux:bar[to-set-aside]V sux:me[essence]N sux:dug₄[to-say]V
c.4.32.e,A šir-namšub to Utu (Utu E),,67,sux:ki-ru-gu₂[composition-division]N sux:5-kam-ma[5th]NU
c.4.32.e,A šir-namšub to Utu (Utu E),,68,sux:munu₄[malt]N sux:še₁₀[(animal)-dung]N sux:buru₅[sparrow?]N sux:de₅[to-collect]V
c.4.32.e,A šir-namšub to Utu (Utu E),,69,sux:še[barley]N sux:še₁₀[(animal)-dung]N sux-x-emesal:še-en-kilim[small-animal]N sux:de₅[to-collect]V
c.4.32.e,A šir-namšub to Utu (Utu E),,70,sux:buru₁₄[harvest-(time)]N sux:an[heaven]N sux:zu₂[tooth]N sux:bir₅[locust]N sux-x-emesal:me[I]PD sux:de₅[to-collect]V
c.4.32.e,A šir-namšub to Utu (Utu E),,71,sux-x-emesal:aŋ₂[thing]N sux-x-emesal:u₃-mu-un[lord]N sux:gu₇[to-eat]V sux:gu₇[to-eat]V
c.4.32.e,A šir-namšub to Utu (Utu E),,72,sux:ur-saŋ[hero]N sux:šul[young-man]N sux:Utu[1]DN sux:naŋ[to-drink]V sux:naŋ[to-drink]V
c.4.32.e,A šir-namšub to Utu (Utu E),,73,sux:šul[young-man]N sux:Utu[1]DN sux:ŠEŠ[ŠEŠ]V sux:gu₇[to-eat]V sux:ŠEŠ[ŠEŠ]V sux:naŋ[to-drink]V
c.4.32.e,A šir-namšub to Utu (Utu E),,74,sux:ki-ru-gu₂[composition-division]N sux:6-kam-ma[6th]NU
c.4.32.e,A šir-namšub to Utu (Utu E),,75,sux:kaš[beer]N sux:dur₂[rump]N sux:e₂[house(hold)]N sux:lam[to-flourish]V
c.4.32.e,A šir-namšub to Utu (Utu E),,76,sux:ugu[skull]N sux:lam-sa₂-ri[brewing-vat]N
c.4.32.e,A šir-namšub to Utu (Utu E),,77,sux:sukkal[minister]N sux:zid[right]AJ sux:gala[lament-singer]N
c.4.32.e,A šir-namšub to Utu (Utu E),,78,sux:sukkal[minister]N sux:e₂[house(hold)]N sux:zid[right]AJ
c.4.32.e,A šir-namšub to Utu (Utu E),,79,sux:šul[young-man]N sux:Utu[1]DN
c.4.32.e,A šir-namšub to Utu (Utu E),,80,sux:ki-ru-gu₂[composition-division]N sux:7-kam-ma[7th]NU
c.4.32.e,A šir-namšub to Utu (Utu E),,81,sux:ud[day(light)]N sux-x-emesal:ša₃-ab[heart]N
c.4.32.e,A šir-namšub to Utu (Utu E),,82,sux:a[water]N sux:kal[to-be-rare]V
c.4.32.e,A šir-namšub to Utu (Utu E),,83,sux:nesaŋ[(first-fruit)-offering]N sux:kug[shining]AJ
c.4.32.e,A šir-namšub to Utu (Utu E),,84,sux:šul[young-man]N sux:Utu[1]DN sux:kug[shining]AJ
c.4.32.e,A šir-namšub to Utu (Utu E),,85,sux:ki-ru-gu₂[composition-division]N sux:8-kam-ma[8th]NU
c.4.32.e,A šir-namšub to Utu (Utu E),,86,sux:u₃-li-li[soothing-expression]I
c.4.32.e,A šir-namšub to Utu (Utu E),,87,sux-x-emesal:Enlil[1]DN
c.4.32.e,A šir-namšub to Utu (Utu E),,90,
c.4.32.e,A šir-namšub to Utu (Utu E),,91,
c.4.32.e,A šir-namšub to Utu (Utu E),,92,sux:dam[spouse]N
c.4.32.e,A šir-namšub to Utu (Utu E),,93,
c.4.32.e,A šir-namšub to Utu (Utu E),,96,sux:lu₂[person]N
c.4.32.e,A šir-namšub to Utu (Utu E),,109,sux:ama[mother]N
c.4.32.e,A šir-namšub to Utu (Utu E),,110,sux:ama[mother]N
c.4.32.e,A šir-namšub to Utu (Utu E),,111,sux:ki-ru-gu₂[composition-division]N
c.4.32.e,A šir-namšub to Utu (Utu E),,x,
