id_text,text_name,version,l_no,text
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r ii 8',sux:še[barley]N sux:saŋ[head]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r ii 9',sux:še[barley]N sux:in.nu.HA[barley]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r ii 10',sux:še[barley]N sux:kud[cut]V/t
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r ii 11',sux:še[barley]N sux:niŋkud[due]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r ii 12',sux:še[barley]N sux:niŋŋala[possessions]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r ii 13',sux:še[barley]N sux:absin[furrow]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r ii 14',sux:henbur[stalk]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r ii 15',sux:še[barley]N sux:lillan[grain]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r ii 16',sux:še[barley]N sux:habazin[cereal]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r ii 17',sux:še[barley]N sux:deg[collect]V/t
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r iii 2',sux:innu[straw]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r iii 3',sux:innu[straw]N sux:deg[collect]V/t
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r iii 4',sux:innu[straw]N sux:deg[collect]V/t
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r iii 5',sux:innu[straw]N sux:bul[blow]V/t
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r iii 6',sux:an[sky]N sux:še[barley]N
