id_text,text_name,l_no,text
dcclt/Q000052,Nippur Nigga,260,sux:šu[hand]N sux:šum[slaughter]V/t
dcclt/Q000052,Nippur Nigga,261,sux:šu[hand]N sux:šum[give]V/t
dcclt/Q000052,Nippur Nigga,262,sux:šuluh[cleansing]N
dcclt/Q000052,Nippur Nigga,263,sux:šu[hand]N sux:luh[clean]V/t
dcclt/Q000052,Nippur Nigga,263a,sux:šu[hand]N sux:luh[clean]V/t
dcclt/Q000052,Nippur Nigga,264,sux:šu[hand]N sux:kar[insult]V/t
dcclt/Q000052,Nippur Nigga,265,sux:šu[hand]N sux:ri[impose]V/t
dcclt/Q000052,Nippur Nigga,266,sux:šu[hand]N sux:šibir[staff]N
dcclt/Q000052,Nippur Nigga,267,sux:šu[hand]N sux:bar[cvve]V/t
dcclt/Q000052,Nippur Nigga,268,sux:ešgiri[staff]N
dcclt/Q000052,Nippur Nigga,269,sux:šu[hand]N sux:kud[cut]V/t sux:ŋiri[foot]N sux:kud[cut]V/t
dcclt/Q000052,Nippur Nigga,270,sux:šu[hand]N sux:dirig[excess]N sux:du[build]V/t
dcclt/Q000052,Nippur Nigga,271,sux:šu[hand]N sux:mah[great]V/i sux:gid[drag]V/t
dcclt/Q000052,Nippur Nigga,272,sux:šu[hand]N sux:zig[rise]V/t
dcclt/Q000052,Nippur Nigga,273,sux:šukin[prostration]N sux:sag[good]V/i
dcclt/Q000052,Nippur Nigga,274,sux:šu[hand]N sux:sag[beat]V/t
dcclt/Q000052,Nippur Nigga,275,sux:šu[hand]N sux:sag[beat]V/t
dcclt/Q000052,Nippur Nigga,276,sux:šubarzi[present]N
dcclt/Q000052,Nippur Nigga,277,sux:šu[hand]N sux:taba[companion]N
dcclt/Q000052,Nippur Nigga,278,sux:šu[hand]N sux:bar[outside]V/t sux:šuš[cover]V/t
dcclt/Q000052,Nippur Nigga,279,sux:šu[hand]N sux:gid[long]V/i
dcclt/Q000052,Nippur Nigga,280,sux:šu[hand]N
dcclt/Q000052,Nippur Nigga,281,sux:šu[hand]N
dcclt/Q000052,Nippur Nigga,282,sux:šu[hand]N
dcclt/Q000052,Nippur Nigga,283,sux:šu[hand]N
dcclt/Q000052,Nippur Nigga,284,sux:šu[hand]N
dcclt/Q000052,Nippur Nigga,285,sux:baršu[unmng]N
dcclt/Q000052,Nippur Nigga,286,sux:baršuŋal[official]N
dcclt/Q000052,Nippur Nigga,287,sux:baršuŋal[property]N
dcclt/Q000052,Nippur Nigga,288,sux:sa[bundle]N
dcclt/Q000052,Nippur Nigga,289,sux:sa[bundle]N
dcclt/Q000052,Nippur Nigga,290,sux:sa[net]N
dcclt/Q000052,Nippur Nigga,291,sux:sa[sinew]N
dcclt/Q000052,Nippur Nigga,292,sux:sa[sinew]N
dcclt/Q000052,Nippur Nigga,293,sux:sa[roast]V/t
dcclt/Q000052,Nippur Nigga,294,sux:sa[jewelry]N
dcclt/Q000052,Nippur Nigga,295,sux:sa[sinew]N
dcclt/Q000052,Nippur Nigga,296,sux:sa[sinew]N
dcclt/Q000052,Nippur Nigga,297,sux:sa[sinew]N
dcclt/Q000052,Nippur Nigga,298,sux:sa[sinew]N
dcclt/Q000052,Nippur Nigga,299,sux:sa[sinew]N
dcclt/Q000052,Nippur Nigga,302,sux:sa[sting]V/t
dcclt/Q000052,Nippur Nigga,303,sux:sagal[~body]N
dcclt/Q000052,Nippur Nigga,304,sux:sadah[illness]N
dcclt/Q000052,Nippur Nigga,305,sux:sanimmara[back]N
dcclt/Q000052,Nippur Nigga,306,sux:še[barley]N sux:sa[roast]V/t
dcclt/Q000052,Nippur Nigga,307,sux:sadur[bottom]N
dcclt/Q000052,Nippur Nigga,308,sux:sa.KU[arm]N
dcclt/Q000052,Nippur Nigga,309,sux:sa.KU[arm]N sux:kalag[strong]V/i
dcclt/Q000052,Nippur Nigga,310,sux:gilsa[treasure]N
dcclt/Q000052,Nippur Nigga,311,sux:gilsa[treasure]N
dcclt/Q000052,Nippur Nigga,312,sux:dari[eternal]V/i
dcclt/Q000052,Nippur Nigga,313,sux:sa[sinew]N sux:piriŋ[lion]N
dcclt/Q000052,Nippur Nigga,314,sux:sa[sinew]N
dcclt/Q000052,Nippur Nigga,315,sux:sa[net]N sux:la[stretch]V/t
dcclt/Q000052,Nippur Nigga,316,sux:samana[mold]N
dcclt/Q000052,Nippur Nigga,319,sux:urbad[bedroom]N
dcclt/Q000052,Nippur Nigga,320,sux:sa[net]N sux:ri[impose]V/t
dcclt/Q000052,Nippur Nigga,322,sux:ŋiri[dagger]N sux:kiŋ[pointed]V/i
dcclt/Q000052,Nippur Nigga,323,sux:ŋiri[dagger]N sux:gur[reap]V/t
dcclt/Q000052,Nippur Nigga,324,sux:dub[knee]N sux:sa[sinew]N sux:dar[split]V/t
dcclt/Q000052,Nippur Nigga,325,sux:dusa[friend]N
dcclt/Q000052,Nippur Nigga,326,sux:us₂.a.DU[border]N
dcclt/Q000052,Nippur Nigga,327,sux:kaʾusa[function]N
dcclt/Q000052,Nippur Nigga,328,sux:sadua[net]N
dcclt/Q000052,Nippur Nigga,329,sux:sahir[net]N
dcclt/Q000052,Nippur Nigga,330,sux:sagir[straw-net]N
dcclt/Q000052,Nippur Nigga,331,sux:sagir[straw-net]N
dcclt/Q000052,Nippur Nigga,332,sux:sa[bundle]N sux:sig[tie]V/t
dcclt/Q000052,Nippur Nigga,333,sux:sadu[companion]N
dcclt/Q000052,Nippur Nigga,334,sux:sadu[flask]N
dcclt/Q000052,Nippur Nigga,335,sux:sadu[net]N
dcclt/Q000052,Nippur Nigga,336,sux:sa[bundle]N sux:dur[bond]N
dcclt/Q000052,Nippur Nigga,337,sux:gu[neck]N sux:sa[sinew]N sux:la[stretch]V/t
dcclt/Q000052,Nippur Nigga,339,sux:sagal[~body]N
dcclt/Q000052,Nippur Nigga,340,sux:sa[net]N sux:sig[weak]V/i
dcclt/Q000052,Nippur Nigga,341,sux:saʾur[net]N
dcclt/Q000052,Nippur Nigga,342,sux:sašušgal[net]N
dcclt/Q000052,Nippur Nigga,343,sux:sa[sinew]N sux:gu[neck]N
dcclt/Q000052,Nippur Nigga,344,sux:sa[net]N sux:kud[cut]V/t
dcclt/Q000052,Nippur Nigga,345,sux:salhub[net]N
dcclt/Q000052,Nippur Nigga,346,sux:sa[net]N sux:ŋar[place]V/t
dcclt/Q000052,Nippur Nigga,347,sux:sagida[notation]N
dcclt/Q000052,Nippur Nigga,348,sux:bala[turn]V/t
dcclt/Q000052,Nippur Nigga,349,sux:bala[turn]V/t
dcclt/Q000052,Nippur Nigga,350,sux:bala[turn]V/t
dcclt/Q000052,Nippur Nigga,351,sux:bala[turn]V/t
